id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
885ba8304d0353aee0e708f2526418ea,warszawa,blockOfFlats,33.0,1.0,1.0,3.0,1958.0,52.2519846,21.0055755,2.26,55.0,0.053,0.458,0.538,0.097,0.143,0.384,0.18,condominium,brick,premium,no,no,no,no,no,3500
b78af519ca7304f29bc94786a09d7975,warszawa,blockOfFlats,50.0,3.0,1.0,4.0,1970.0,52.2724066,20.9583719,5.47,21.0,0.213,0.363,0.389,0.147,0.115,0.326,0.256,condominium,brick,premium,no,yes,no,no,no,3300
c1a5896d6433691e91141c02c2d91f67,lodz,blockOfFlats,41.84,2.0,2.0,3.0,1965.0,51.7903205,19.4756884,1.74,18.0,0.148,1.453,0.181,0.236,0.32,1.422,0.112,condominium,brick,premium,yes,yes,no,no,yes,385000
03ec23d9fa93cc4ed1e58f25f14b97d7,gdansk,tenement,55.0,2.0,1.0,2.0,1950.0,54.35046,18.65307,0.15,144.0,0.3,0.647,0.094,0.22,0.071,0.575,0.135,condominium,brick,,no,no,no,no,no,859000
a8f12260f896ae4278119e545f078610,wroclaw,blockOfFlats,72.0,4.0,4.0,4.0,1950.0,51.087997,17.0108011,2.85,16.0,0.081,1.615,0.23,0.224,0.29,0.277,0.163,condominium,brick,,no,no,,no,no,630000
c8c52e7c9b520b58fc36d40ebd703760,lodz,blockOfFlats,36.05,2.0,2.0,4.0,1965.0,51.79598273,19.38546181,5.03,15.0,0.206,3.317,0.149,0.34,0.316,1.011,0.236,condominium,concreteSlab,,no,yes,no,no,no,375000
6b80355b824f7f9852c471863cc06fd0,wroclaw,apartmentBuilding,68.4,3.0,,5.0,2022.0,51.0586353,17.0527136,6.01,0.0,1.361,1.977,1.195,0.81,0.523,3.142,0.877,condominium,brick,,yes,no,yes,yes,no,920000
10afd0608bcfdf51525a0887ff371df1,gdansk,,43.0,2.0,3.0,5.0,2013.0,54.3433393,18.6514797,0.7,10.0,0.166,0.247,0.515,0.473,0.207,1.348,0.198,condominium,,,no,yes,yes,yes,no,2700
6dd263749ccd4d21ffd3f924cb31a01d,warszawa,,48.0,2.0,3.0,3.0,,52.2334,21.0638,4.11,31.0,0.164,0.276,0.276,0.171,0.052,0.45,0.159,condominium,,,no,no,no,no,no,4300
8e58c09e0f0f7e28e266656b20c30eff,gdansk,blockOfFlats,50.0,2.0,2.0,3.0,1960.0,54.4023717,18.6668671,5.95,8.0,0.308,1.587,0.391,0.281,0.385,3.954,0.26,cooperative,brick,low,no,yes,no,no,yes,470000
08ba6a4371f1d50dcf58479ddbc4eb06,bydgoszcz,blockOfFlats,53.0,3.0,3.0,4.0,1977.0,53.1058044,18.0548717,4.04,14.0,0.214,0.313,0.449,0.157,0.406,1.66,0.277,condominium,,low,no,yes,no,no,yes,349900
